大学,经度,纬度,排名,本数,是否为双一流
北京大学,0.737548089,0.745658018,0,一本,是
中国人民大学,0.737548089,0.745658018,0.011235955,一本,是
清华大学,0.737548089,0.745658018,0.002808989,一本,是
北京交通大学,0.737548089,0.745658018,0.120786517,一本,是
北京航空航天大学,0.737548089,0.745658018,0.06741573,一本,是
北京理工大学,0.737548089,0.745658018,0.078651685,一本,是
北京科技大学,0.737548089,0.745658018,0.115168539,一本,否
北方工业大学,0.737548089,0.745658018,0.255617978,一本,否
北京化工大学,0.737548089,0.745658018,0.213483146,一本,否
北京工商大学,0.737548089,0.745658018,0.050561798,一本,否
北京邮电大学,0.737548089,0.745658018,0.16011236,一本,否
北京林业大学,0.737548089,0.745658018,0.292134831,一本,否
北京师范大学,0.737548089,0.745658018,0.04494382,一本,是
首都师范大学,0.737548089,0.745658018,0.230337079,一本,否
北京外国语大学,0.737548089,0.745658018,0.331460674,一本,否
中国传媒大学,0.737548089,0.745658018,0.179775281,一本,否
北京体育大学,0.737548089,0.745658018,0.418539326,一本,否
华北电力大学,0.737548089,0.745658018,0.362359551,一本,否
太原理工大学,0.638267418,0.655296791,0.216292135,一本,否
内蒙古大学,0.616262633,0.785456199,0.365168539,一本,否
辽宁大学,0.917215963,0.827997112,0.252808989,一本,否
大连理工大学,0.917215963,0.827997112,0.073033708,一本,是
大连海事大学,0.917215963,0.827997112,0.396067416,一本,否
延边大学,0.965983457,0.919383722,0.615168539,一本,否
燕山大学,0.688667295,0.664426329,0.210674157,一本,否
东北农业大学,1,1,0.342696629,一本,否
东北林业大学,1,1,0.323033708,一本,否
复旦大学,0.867457985,0.367632499,0.005617978,一本,是
同济大学,0.867457985,0.367632499,0.053370787,一本,是
上海交通大学,0.867457985,0.367632499,0.014044944,一本,是
华东理工大学,0.867457985,0.367632499,0.126404494,一本,否
东华大学,0.867457985,0.367632499,0.154494382,一本,否
华东师范大学,0.867457985,0.367632499,0.087078652,一本,是
上海师范大学,0.867457985,0.367632499,0.337078652,一本,否
上海外国语大学,0.867457985,0.367632499,0.348314607,一本,否
华东政法大学,0.867457985,0.367632499,0.474719101,一本,否
上海大学,0.867457985,0.367632499,0.179775281,一本,否
南京大学,0.798383212,0.402925307,0.011235955,一本,是
东南大学,0.798383212,0.402925307,0.04494382,一本,是
南京航空航天大学,0.798383212,0.402925307,0.137640449,一本,否
南京工业大学,0.798383212,0.402925307,0.261235955,一本,否
河海大学,0.798383212,0.402925307,0.101123596,一本,否
江南大学,0.798383212,0.402925307,0.221910112,一本,否
南通大学,0.798383212,0.402925307,0.575842697,一本,否
南京师范大学,0.798383212,0.402925307,0.171348315,一本,否
南京财经大学,0.798383212,0.402925307,0.733146067,一本,否
杭州电子科技大学,0.833899749,0.32524386,0.252808989,一本,否
浙江理工大学,0.833899749,0.32524386,0.387640449,一本,否
安徽大学,0.7600332,0.394886894,0.325842697,一本,否
合肥工业大学,0.7600332,0.394886894,0.132022472,一本,否
厦门大学,0.811832734,0.142666412,0.061797753,一本,是
华侨大学,0.811832734,0.142666412,0.379213483,一本,否
福州大学,0.811832734,0.142666412,0.188202247,一本,否
福建农林大学,0.811832734,0.142666412,0.286516854,一本,否
南昌大学,0.724790279,0.255917181,0.134831461,一本,否
郑州大学,0.667156306,0.52106026,0.109550562,一本,否
武汉大学,0.683599368,0.338390582,0.025280899,一本,是
华中科技大学,0.683599368,0.338390582,0.016853933,一本,是
武汉科技大学,0.683599368,0.338390582,0.278089888,一本,否
中国地质大学（武汉）,0.683599368,0.338390582,0.202247191,一本,否
华中农业大学,0.683599368,0.338390582,0.098314607,一本,否
华中师范大学,0.683599368,0.338390582,0.106741573,一本,否
湖北大学,0.683599368,0.338390582,0.418539326,一本,否
湖南大学,0.650024517,0.235199176,0.073033708,一本,否
中南大学,0.650024517,0.235199176,0.06741573,一本,是
湖南师范大学,0.650024517,0.235199176,0.176966292,一本,否
华南理工大学,0.657201231,0.013619751,0.078651685,一本,是
广西大学,0.53040786,0,0.353932584,一本,否
四川大学,0.422049463,0.342469165,0.047752809,一本,否
四川农业大学,0.422049463,0.342469165,0.334269663,一本,否
西南大学,0.485237061,0.294239624,0.148876404,一本,否
西南财经大学,0.422049463,0.342469165,0.292134831,一本,否
贵州大学,0.489411216,0.164392355,0.396067416,一本,否
西北大学,0.54673229,0.499462222,0.157303371,一本,否
西安电子科技大学,0.54673229,0.499462222,0.112359551,一本,否
长安大学,0.54673229,0.499462222,0.314606742,一本,否
兰州大学,0.413552363,0.578222129,0.084269663,一本,是
新疆大学,0,0.914952772,0.367977528,一本,否
石河子大学,0,0.914952772,0.58988764,一本,否
青岛大学,0.753114076,0.60434093,0.466292135,一本,否
广州大学,0.657201231,0.013619751,0.356741573,一本,否
中国矿业大学（北京）,0.737548089,0.745658018,0.393258427,一本,否
中国地质大学（北京）,0.737548089,0.745658018,0.359550562,一本,否
北京联合大学,0.737548089,0.745658018,1,一本,否
复旦大学医学部,0.867457985,0.367632499,0.418539326,一本,否
重庆大学,0.485237061,0.294239624,0.095505618,一本,是
中国科学技术大学,0.7600332,0.394886894,0.019662921,一本,否
浙江工业大学,0.833899749,0.32524386,0.233146067,一本,否
