province,tw,tl,pw,pl,all
湖南,20,172,70,71,333
广东,5,84,30,100,219
广西,9,45,18,55,127
海南,9,17,8,20,54
重庆,5,39,5,33,82
四川,10,168,60,100,338
贵州,5,54,27,54,140
云南,10,28,30,31,99
西藏,3,8,6,8,25
陕西,25,100,56,55,236
甘肃,20,43,37,37,137
青海,10,25,15,14,64
宁夏,5,20,20,20,65
新疆,30,83,20,30,163
北京,31,152,42,263,488
天津,11,53,21,58,143
河北,12,132,54,90,288
山西,5,176,28,141,350
内蒙古,3,42,10,42,97
辽宁,20,82,70,72,244
吉林,20,50,32,34,136
黑龙江,32,57,39,40,168
上海,35,73,45,56,209
江苏,16,130,60,93,299
浙江,20,80,90,120,310
安徽,30,84,50,60,224
福建,30,60,40,45,175
江西,20,85,40,43,188
山东,5,134,24,84,247
河南,125,88,164,95,472
湖北,20,99,68,79,266
