大学,精度,纬度,排名
北京大学,116.3979471,39.9081726,1
中国人民大学,116.3979471,39.9081726,5
清华大学,116.3979471,39.9081726,2
北京交通大学,116.3979471,39.9081726,44
北京航空航天大学,116.3979471,39.9081726,25
北京理工大学,116.3979471,39.9081726,29
北京科技大学,116.3979471,39.9081726,42
北方工业大学,116.3979471,39.9081726,92
北京化工大学,116.3979471,39.9081726,77
北京工商大学,116.3979471,39.9081726,19
北京邮电大学,116.3979471,39.9081726,58
北京林业大学,116.3979471,39.9081726,105
北京师范大学,116.3979471,39.9081726,17
首都师范大学,116.3979471,39.9081726,83
北京外国语大学,116.3979471,39.9081726,119
中国传媒大学,116.3979471,39.9081726,65
北京体育大学,116.3979471,39.9081726,150
华北电力大学,116.3979471,39.9081726,130
太原理工大学,112.5223053,37.8357424,78
内蒙古大学,111.6632996,40.8209419,131
辽宁大学,123.4116821,41.7966156,91
大连理工大学,123.4116821,41.7966156,27
大连海事大学,123.4116821,41.7966156,142
延边大学,125.3154297,43.8925629,220
燕山大学,114.4897766,38.0451279,76
东北农业大学,126.6433411,45.7414932,123
东北林业大学,126.6433411,45.7414932,116
复旦大学,121.4692688,31.2381763,3
同济大学,121.4692688,31.2381763,20
上海交通大学,121.4692688,31.2381763,6
华东理工大学,121.4692688,31.2381763,46
东华大学,121.4692688,31.2381763,56
华东师范大学,121.4692688,31.2381763,32
上海师范大学,121.4692688,31.2381763,121
上海外国语大学,121.4692688,31.2381763,125
华东政法大学,121.4692688,31.2381763,170
上海大学,121.4692688,31.2381763,65
南京大学,118.7727814,32.0476151,5
东南大学,118.7727814,32.0476151,17
南京航空航天大学,118.7727814,32.0476151,50
南京工业大学,118.7727814,32.0476151,94
河海大学,118.7727814,32.0476151,37
江南大学,118.7727814,32.0476151,80
南通大学,118.7727814,32.0476151,206
南京师范大学,118.7727814,32.0476151,62
南京财经大学,118.7727814,32.0476151,262
杭州电子科技大学,120.1592484,30.265995,91
浙江理工大学,120.1592484,30.265995,139
安徽大学,117.2757034,31.8632545,117
合肥工业大学,117.2757034,31.8632545,48
厦门大学,119.2978134,26.0785904,23
华侨大学,119.2978134,26.0785904,136
福州大学,119.2978134,26.0785904,68
福建农林大学,119.2978134,26.0785904,103
南昌大学,115.8999176,28.6759911,49
郑州大学,113.6500473,34.7570343,40
武汉大学,114.2919388,30.5675144,10
华中科技大学,114.2919388,30.5675144,7
武汉科技大学,114.2919388,30.5675144,100
中国地质大学（武汉）,114.2919388,30.5675144,73
华中农业大学,114.2919388,30.5675144,36
华中师范大学,114.2919388,30.5675144,39
湖北大学,114.2919388,30.5675144,150
湖南大学,112.9812698,28.2008247,27
中南大学,112.9812698,28.2008247,25
湖南师范大学,112.9812698,28.2008247,64
华南理工大学,113.2614288,23.1189117,29
广西大学,108.3117676,22.8065434,127
四川大学,104.0817566,30.6610565,18
四川农业大学,104.0817566,30.6610565,120
西南大学,106.548425,29.5549144,54
西南财经大学,104.0817566,30.6610565,105
贵州大学,106.7113724,26.5768738,142
西北大学,108.949028,34.2616844,57
西安电子科技大学,108.949028,34.2616844,41
长安大学,108.949028,34.2616844,113
兰州大学,103.7500534,36.0680389,31
新疆大学,87.6061172,43.7909393,132
石河子大学,87.6061172,43.7909393,211
青岛大学,117.0056,36.6670723,167
广州大学,113.2614288,23.1189117,128
中国矿业大学（北京）,116.3979471,39.9081726,141
中国地质大学（北京）,116.3979471,39.9081726,129
北京联合大学,116.3979471,39.9081726,357
复旦大学医学部,121.4692688,31.2381763,150
重庆大学,106.548425,29.5549144,35
中国科学技术大学,117.2757034,31.8632545,8
浙江工业大学,120.1592484,30.265995,84
