,0,1,2
0,中国人民大学,金融学类,D
1,中国人民大学,法学,A
2,中国人民大学,法学,D
3,中国人民大学,理科试验班（信息与数学）,D
4,中国人民大学,新闻传播学类,D
5,中国人民大学,信息资源管理,A
6,中国人民大学,信息资源管理,D
7,中国人民大学,统计学类,D
8,中国人民大学,工商管理类,D
9,中国人民大学,经济学类,B
10,中国人民大学,经济学类,D
11,中国人民大学,理科试验班（环境理工、环境经管）,D
12,中国人民大学,金融学类,D
13,中国人民大学,新闻传播学类,B
14,中国人民大学,新闻传播学类,D
15,中国人民大学,财政学类,D
16,中国人民大学,经济学类,D
17,中国人民大学,工商管理类,B
18,中国人民大学,工商管理类,D
19,中国人民大学,法学,D
20,中国人民大学,国际政治,D
21,中国人民大学,人文科学试验班,B
22,中国人民大学,人文科学试验班,D
23,中国人民大学,英语,D
24,中国人民大学,人力资源管理,D
25,中国人民大学,公共管理类,C
26,中国人民大学,理科试验班（信息与数学，国家专项）,D
27,中国人民大学,统计学类（国家专项）,D
28,中国人民大学,法学（国家专项）,C
29,中国人民大学,新闻传播学类（国家专项）,D
30,中国人民大学,金融学（中外合作办学）,D
31,中国人民大学,工商管理类（国家专项）,C
32,中国人民大学,国民经济管理（中外合作办学）,D
33,中国人民大学,金融学（中外合作办学）,D
34,中国人民大学,国民经济管理（中外合作办学）,C
35,中国人民大学,经济学类（国家专项）,D
36,中国人民大学,英语（国家专项）,D
37,中国人民大学,国际政治（国家专项）,C
38,中国人民大学,公共管理类（国家专项）,D
39,中国人民大学,设计学类(加权成绩),D
40,北京交通大学,经济管理试验班,D
41,北京交通大学,交通运输类,A
42,北京交通大学,交通运输类,D
43,北京交通大学,电子信息类（通信与控制）,D
44,北京交通大学,经济管理试验班,D
45,北京交通大学,电气工程及其自动化（新能源国际班）,A
46,北京交通大学,电气工程及其自动化（新能源国际班）,D
47,北京交通大学,文科试验班类（语言与传播）,D
48,北京交通大学,计算机类,D
49,北京交通大学,法学,B
50,北京交通大学,法学,D
51,北京交通大学,法学,D
52,北京交通大学,软件工程,D
53,北京交通大学,理科试验班类,B
54,北京交通大学,理科试验班类,D
55,北京交通大学,电气类,D
56,北京交通大学,文科试验班类（语言与传播）,D
57,北京交通大学,土木类,B
58,北京交通大学,土木类,D
59,北京交通大学,建筑类,D
60,北京交通大学,机械类,D
61,北京理工大学,电子信息类（实验班）,D
62,北京理工大学,徐特立英才班,A
63,北京理工大学,徐特立英才班,D
64,北京理工大学,电子信息类,D
65,北京理工大学,物理菁英班,D
66,北京理工大学,航空航天类,A
67,北京理工大学,航空航天类,D
68,北京理工大学,光电信息科学与工程,D
69,北京理工大学,计算机类,D
70,北京理工大学,机械类,B
71,北京理工大学,机械类,D
72,北京理工大学,设计学类（工业设计）,D
73,北京理工大学,化学化工菁英班,D
74,北京理工大学,自动化类,B
75,北京理工大学,自动化类,D
76,北京理工大学,数学菁英班,D
77,北京理工大学,兵器类,D
78,北京理工大学,材料类,B
79,北京理工大学,材料类,D
80,北京理工大学,经济管理试验班,D
81,北京理工大学,社会科学试验班,D
82,北京理工大学,外国语言文学类,B
83,北京理工大学,外国语言文学类,D
84,北京理工大学,化学化工菁英班（国家专项）,D
85,北京理工大学,兵器类（国家专项）,D
86,北京科技大学,理科试验班,D
87,北京科技大学,经济与贸易类,A
88,北京科技大学,经济与贸易类,D
89,北京科技大学,经济与贸易类,D
