,0,1,2
0,10002,金融学类,D
1,10002,法学,A
2,10002,法学,D
3,10002,理科试验班（信息与数学）,D
4,10002,新闻传播学类,D
5,10002,信息资源管理,A
6,10002,信息资源管理,D
7,10002,统计学类,D
8,10002,工商管理类,D
9,10002,经济学类,B
10,10002,经济学类,D
11,10002,理科试验班（环境理工、环境经管）,D
12,10002,金融学类,D
13,10002,新闻传播学类,B
14,10002,新闻传播学类,D
15,10002,财政学类,D
16,10002,经济学类,D
17,10002,工商管理类,B
18,10002,工商管理类,D
19,10002,法学,D
20,10002,国际政治,D
21,10002,人文科学试验班,B
22,10002,人文科学试验班,D
23,10002,英语,D
24,10002,人力资源管理,D
25,10002,公共管理类,C
26,10002,理科试验班（信息与数学，国家专项）,D
27,10002,统计学类（国家专项）,D
28,10002,法学（国家专项）,C
29,10002,新闻传播学类（国家专项）,D
30,10002,金融学（中外合作办学）,D
31,10002,工商管理类（国家专项）,C
32,10002,国民经济管理（中外合作办学）,D
33,10002,金融学（中外合作办学）,D
34,10002,国民经济管理（中外合作办学）,C
35,10002,经济学类（国家专项）,D
36,10002,英语（国家专项）,D
37,10002,国际政治（国家专项）,C
38,10002,公共管理类（国家专项）,D
39,10002,设计学类(加权成绩),D
40,10004,经济管理试验班,D
41,10004,交通运输类,A
42,10004,交通运输类,D
43,10004,电子信息类（通信与控制）,D
44,10004,经济管理试验班,D
45,10004,电气工程及其自动化（新能源国际班）,A
46,10004,电气工程及其自动化（新能源国际班）,D
47,10004,文科试验班类（语言与传播）,D
48,10004,计算机类,D
49,10004,法学,B
50,10004,法学,D
51,10004,法学,D
52,10004,软件工程,D
53,10004,理科试验班类,B
54,10004,理科试验班类,D
55,10004,电气类,D
56,10004,文科试验班类（语言与传播）,D
57,10004,土木类,B
58,10004,土木类,D
59,10004,建筑类,D
60,10004,机械类,D
61,10007,电子信息类（实验班）,D
62,10007,徐特立英才班,A
63,10007,徐特立英才班,D
64,10007,电子信息类,D
65,10007,物理菁英班,D
66,10007,航空航天类,A
67,10007,航空航天类,D
68,10007,光电信息科学与工程,D
69,10007,计算机类,D
70,10007,机械类,B
71,10007,机械类,D
72,10007,设计学类（工业设计）,D
73,10007,化学化工菁英班,D
74,10007,自动化类,B
75,10007,自动化类,D
76,10007,数学菁英班,D
77,10007,兵器类,D
78,10007,材料类,B
79,10007,材料类,D
80,10007,经济管理试验班,D
81,10007,社会科学试验班,D
82,10007,外国语言文学类,B
83,10007,外国语言文学类,D
84,10007,化学化工菁英班（国家专项）,D
85,10007,兵器类（国家专项）,D
86,10008,理科试验班,D
87,10008,经济与贸易类,A
88,10008,经济与贸易类,D
89,10008,经济与贸易类,D
90,10008,工商管理类,D
91,10008,计算机类,A
92,10008,计算机类,D
93,10008,英语,D
94,10008,人文科学试验班,D
95,10008,日语,B
96,10008,日语,D
97,10008,德语,D
98,10008,工科试验班类(卓越计划),D
99,10008,能源动力类,B
100,10008,能源动力类,D
101,10008,自动化类,D
102,10008,工商管理类,D
103,10008,通信工程,B
