:START_ID,has,:TYPE,:END_ID
c10003,has,HAS,M0
c10001,has,HAS,M0
c10001,has,HAS,M1
c10002,has,HAS,M1
c10002,has,HAS,M2
c10002,has,HAS,M3
c10002,has,HAS,M4
c10002,has,HAS,M5
c10002,has,HAS,M6
c10002,has,HAS,M7
c10002,has,HAS,M8
c10002,has,HAS,M9
c10002,has,HAS,M10
c10002,has,HAS,M11
c10002,has,HAS,M12
c10002,has,HAS,M13
c10002,has,HAS,M14
c10002,has,HAS,M15
c10002,has,HAS,M16
c10002,has,HAS,M17
c10002,has,HAS,M18
c10002,has,HAS,M19
c10002,has,HAS,M20
c10002,has,HAS,M21
c10002,has,HAS,M22
c10002,has,HAS,M23
c10002,has,HAS,M24
c10002,has,HAS,M25
c10002,has,HAS,M26
c10002,has,HAS,M27
c10002,has,HAS,M28
c10002,has,HAS,M29
c10002,has,HAS,M30
c10002,has,HAS,M31
c10002,has,HAS,M32
c10002,has,HAS,M33
c10002,has,HAS,M34
c10002,has,HAS,M35
c10002,has,HAS,M36
c10002,has,HAS,M37
c10002,has,HAS,M38
c10002,has,HAS,M39
c10002,has,HAS,M40
c10002,has,HAS,M41
c10002,has,HAS,M42
c10002,has,HAS,M43
c10002,has,HAS,M44
c10002,has,HAS,M45
c10002,has,HAS,M46
c10002,has,HAS,M47
c10002,has,HAS,M48
c10002,has,HAS,M49
c10002,has,HAS,M50
c10002,has,HAS,M51
c10002,has,HAS,M52
c10002,has,HAS,M53
c10002,has,HAS,M54
c10002,has,HAS,M55
c10002,has,HAS,M56
c10002,has,HAS,M57
c10002,has,HAS,M58
c10002,has,HAS,M59
c10002,has,HAS,M60
c10002,has,HAS,M61
c10002,has,HAS,M62
c10002,has,HAS,M63
c10002,has,HAS,M64
c10002,has,HAS,M65
c10002,has,HAS,M66
c10004,has,HAS,M67
c10004,has,HAS,M68
c10004,has,HAS,M69
c10004,has,HAS,M70
c10004,has,HAS,M71
c10004,has,HAS,M72
c10004,has,HAS,M73
c10004,has,HAS,M74
c10004,has,HAS,M75
c10004,has,HAS,M76
c10004,has,HAS,M1
c10004,has,HAS,M13
c10004,has,HAS,M3
c10004,has,HAS,M66
c10004,has,HAS,M77
c10004,has,HAS,M78
c10004,has,HAS,M79
c10759,has,HAS,M80
c10759,has,HAS,M81
c10759,has,HAS,M82
c10759,has,HAS,M83
c10759,has,HAS,M84
c10759,has,HAS,M4
c10759,has,HAS,M85
c10759,has,HAS,M69
c10759,has,HAS,M86
c10759,has,HAS,M67
c10759,has,HAS,M87
c10759,has,HAS,M88
c10759,has,HAS,M89
c10759,has,HAS,M90
c10759,has,HAS,M34
c10759,has,HAS,M3
c10759,has,HAS,M91
c10759,has,HAS,M92
c10759,has,HAS,M93
c10759,has,HAS,M94
c10759,has,HAS,M75
c10759,has,HAS,M95
c10759,has,HAS,M7
c10759,has,HAS,M96
c10759,has,HAS,M97
c10759,has,HAS,M98
c10759,has,HAS,M99
c10759,has,HAS,M100
c10759,has,HAS,M101
c10759,has,HAS,M102
c10759,has,HAS,M103
c10759,has,HAS,M104
c10759,has,HAS,M105
c10759,has,HAS,M106
c10759,has,HAS,M107
c10759,has,HAS,M108
c10759,has,HAS,M109
c10759,has,HAS,M110
c10759,has,HAS,M111
c10759,has,HAS,M112
c10759,has,HAS,M38
c10759,has,HAS,M113
c10759,has,HAS,M114
c10759,has,HAS,M115
c10759,has,HAS,M116
c10759,has,HAS,M117
c10759,has,HAS,M118
c10759,has,HAS,M119
c10759,has,HAS,M120
c10759,has,HAS,M121
c10759,has,HAS,M122
c10759,has,HAS,M123
c10759,has,HAS,M124
c10759,has,HAS,M125
c10759,has,HAS,M126
c10759,has,HAS,M127
c10759,has,HAS,M128
c10759,has,HAS,M129
c10759,has,HAS,M130
c10759,has,HAS,M13
c10759,has,HAS,M131
c10759,has,HAS,M132
c10759,has,HAS,M133
c10759,has,HAS,M134
c10759,has,HAS,M135
c10759,has,HAS,M136
c10759,has,HAS,M137
c10759,has,HAS,M138
c10759,has,HAS,M139
c10759,has,HAS,M140
c10759,has,HAS,M141
c10759,has,HAS,M142
c10759,has,HAS,M143
c10759,has,HAS,M144
c10759,has,HAS,M145
c10759,has,HAS,M146
c10759,has,HAS,M147
c10759,has,HAS,M148
c10759,has,HAS,M149
c10759,has,HAS,M150
c10759,has,HAS,M151
c10759,has,HAS,M152
c10759,has,HAS,M153
c10759,has,HAS,M154
c10759,has,HAS,M155
c10759,has,HAS,M156
c10759,has,HAS,M157
c10759,has,HAS,M158
c10759,has,HAS,M159
c10759,has,HAS,M160
c10759,has,HAS,M161
c10759,has,HAS,M162
c10759,has,HAS,M163
c10759,has,HAS,M164
c10759,has,HAS,M165
c10759,has,HAS,M76
c10759,has,HAS,M166
c10759,has,HAS,M167
c10759,has,HAS,M168
c10759,has,HAS,M169
c10759,has,HAS,M170
c10759,has,HAS,M171
c10759,has,HAS,M172
c10759,has,HAS,M173
c10759,has,HAS,M174
c10759,has,HAS,M175
c10759,has,HAS,M176
c10759,has,HAS,M177
c10759,has,HAS,M178
c10759,has,HAS,M179
c10759,has,HAS,M180
c10759,has,HAS,M181
c10759,has,HAS,M182
c10759,has,HAS,M183
c10759,has,HAS,M184
c10759,has,HAS,M185
c10759,has,HAS,M186
c10759,has,HAS,M187
c10759,has,HAS,M188
c10759,has,HAS,M189
c10759,has,HAS,M190
c10759,has,HAS,M191
c10759,has,HAS,M192
c10759,has,HAS,M193
c10759,has,HAS,M194
c10759,has,HAS,M195
c10759,has,HAS,M196
c10759,has,HAS,M197
c10759,has,HAS,M198
c10759,has,HAS,M199
c10759,has,HAS,M200
c10759,has,HAS,M201
c10759,has,HAS,M202
c10759,has,HAS,M203
c10759,has,HAS,M204
c10759,has,HAS,M205
c10759,has,HAS,M206
c10759,has,HAS,M207
c10759,has,HAS,M208
c10759,has,HAS,M209
c10759,has,HAS,M210
c10759,has,HAS,M211
c10759,has,HAS,M212
c10759,has,HAS,M213
c10759,has,HAS,M214
c10759,has,HAS,M215
c10759,has,HAS,M216
c10759,has,HAS,M217
c10759,has,HAS,M218
c10759,has,HAS,M219
c10759,has,HAS,M220
