:START_ID,:END_ID,:TYPE
m1,1304,BELONG_TO
m2,1304,BELONG_TO
m3,1304,BELONG_TO
m4,1304,BELONG_TO
m5,1304,BELONG_TO
m6,1304,BELONG_TO
m7,1304,BELONG_TO
m8,1304,BELONG_TO
m9,1304,BELONG_TO
m10,1304,BELONG_TO
m11,1304,BELONG_TO
m12,1304,BELONG_TO
m13,1304,BELONG_TO
m14,1304,BELONG_TO
m15,1304,BELONG_TO
m16,1304,BELONG_TO
m17,1304,BELONG_TO
m18,1304,BELONG_TO
m19,1304,BELONG_TO
m20,1304,BELONG_TO
m21,1304,BELONG_TO
m22,1304,BELONG_TO
m23,1304,BELONG_TO
m24,1304,BELONG_TO
m25,1304,BELONG_TO
m26,1304,BELONG_TO
m27,1304,BELONG_TO
m28,1304,BELONG_TO
m29,1304,BELONG_TO
m30,1304,BELONG_TO
m31,1304,BELONG_TO
m32,1304,BELONG_TO
m33,1304,BELONG_TO
m34,1304,BELONG_TO
m35,1304,BELONG_TO
m36,1304,BELONG_TO
m37,1304,BELONG_TO
m38,1304,BELONG_TO
m39,1304,BELONG_TO
m40,1304,BELONG_TO
m41,1304,BELONG_TO
m42,1304,BELONG_TO
m43,1304,BELONG_TO
m44,1304,BELONG_TO
m45,1304,BELONG_TO
m46,1304,BELONG_TO
m47,1304,BELONG_TO
m48,1304,BELONG_TO
m49,1304,BELONG_TO
m50,1304,BELONG_TO
m51,1304,BELONG_TO
m52,1304,BELONG_TO
m53,1304,BELONG_TO
m54,1304,BELONG_TO
m55,1304,BELONG_TO
m56,1304,BELONG_TO
m57,1304,BELONG_TO
m58,1304,BELONG_TO
m59,1304,BELONG_TO
m60,1304,BELONG_TO
m61,1304,BELONG_TO
m62,1304,BELONG_TO
m63,1304,BELONG_TO
m64,1304,BELONG_TO
m65,1304,BELONG_TO
m66,1304,BELONG_TO
m67,1304,BELONG_TO
m68,1304,BELONG_TO
m69,1304,BELONG_TO
m70,1304,BELONG_TO
m71,1304,BELONG_TO
m72,1304,BELONG_TO
m73,1304,BELONG_TO
m74,1304,BELONG_TO
m75,1304,BELONG_TO
m76,1304,BELONG_TO
m77,1304,BELONG_TO
m78,1304,BELONG_TO
m79,1304,BELONG_TO
m80,1304,BELONG_TO
m81,1304,BELONG_TO
m82,1304,BELONG_TO
m83,1304,BELONG_TO
m84,1304,BELONG_TO
m85,1304,BELONG_TO
m86,1304,BELONG_TO
m87,1304,BELONG_TO
m88,1304,BELONG_TO
m89,1304,BELONG_TO
m90,1304,BELONG_TO
m91,1304,BELONG_TO
m92,1304,BELONG_TO
m93,1304,BELONG_TO
m94,1304,BELONG_TO
m95,1304,BELONG_TO
m96,1304,BELONG_TO
m97,1304,BELONG_TO
m98,1304,BELONG_TO
m99,1304,BELONG_TO
m100,1304,BELONG_TO
m101,1304,BELONG_TO
m102,1304,BELONG_TO
m103,1304,BELONG_TO
m104,1304,BELONG_TO
m105,1304,BELONG_TO
m106,1304,BELONG_TO
m107,1304,BELONG_TO
m108,1304,BELONG_TO
m109,1304,BELONG_TO
m110,1304,BELONG_TO
m111,1304,BELONG_TO
m112,1304,BELONG_TO
m113,1304,BELONG_TO
m114,1304,BELONG_TO
m115,1304,BELONG_TO
m116,1304,BELONG_TO
m117,1304,BELONG_TO
m118,1304,BELONG_TO
m119,1304,BELONG_TO
m120,1304,BELONG_TO
m121,1304,BELONG_TO
m122,1304,BELONG_TO
m123,1304,BELONG_TO
m124,1304,BELONG_TO
m125,1304,BELONG_TO
m126,1304,BELONG_TO
m127,1304,BELONG_TO
m128,1304,BELONG_TO
m129,1304,BELONG_TO
m130,1304,BELONG_TO
m131,1304,BELONG_TO
m132,1304,BELONG_TO
m133,1304,BELONG_TO
m134,1304,BELONG_TO
m135,1304,BELONG_TO
m136,1304,BELONG_TO
m137,1304,BELONG_TO
m138,1304,BELONG_TO
m139,1304,BELONG_TO
m140,1304,BELONG_TO
m141,1304,BELONG_TO
m142,1304,BELONG_TO
m143,1304,BELONG_TO
m144,1304,BELONG_TO
m145,1304,BELONG_TO
m146,1304,BELONG_TO
m147,1304,BELONG_TO
m148,1304,BELONG_TO
m149,1304,BELONG_TO
m150,1304,BELONG_TO
m151,1304,BELONG_TO
m152,1304,BELONG_TO
m153,1304,BELONG_TO
m154,1304,BELONG_TO
m155,1304,BELONG_TO
m156,1304,BELONG_TO
m157,1304,BELONG_TO
m158,1304,BELONG_TO
m159,1304,BELONG_TO
m160,1304,BELONG_TO
m161,1304,BELONG_TO
m162,1304,BELONG_TO
m163,1304,BELONG_TO
m164,1304,BELONG_TO
m165,1304,BELONG_TO
m166,1304,BELONG_TO
m167,1304,BELONG_TO
m168,1304,BELONG_TO
