:START_ID,:END_ID,:TYPE
m1,p9,ESTABLISHED_IN
m2,p29,ESTABLISHED_IN
m3,p29,ESTABLISHED_IN
m4,p1,ESTABLISHED_IN
m5,p1,ESTABLISHED_IN
m6,p6,ESTABLISHED_IN
m7,p6,ESTABLISHED_IN
m8,p30,ESTABLISHED_IN
m9,p30,ESTABLISHED_IN
m10,p10,ESTABLISHED_IN
m11,p10,ESTABLISHED_IN
m12,p33,ESTABLISHED_IN
m13,p33,ESTABLISHED_IN
m14,p31,ESTABLISHED_IN
m15,p31,ESTABLISHED_IN
m16,p34,ESTABLISHED_IN
m17,p34,ESTABLISHED_IN
m18,p14,ESTABLISHED_IN
m19,p14,ESTABLISHED_IN
m20,p11,ESTABLISHED_IN
m21,p11,ESTABLISHED_IN
m22,p3,ESTABLISHED_IN
m23,p3,ESTABLISHED_IN
m24,p27,ESTABLISHED_IN
m25,p27,ESTABLISHED_IN
m26,p28,ESTABLISHED_IN
m27,p28,ESTABLISHED_IN
m28,p12,ESTABLISHED_IN
m29,p12,ESTABLISHED_IN
m30,p17,ESTABLISHED_IN
m31,p17,ESTABLISHED_IN
m32,p20,ESTABLISHED_IN
m33,p20,ESTABLISHED_IN
m34,p22,ESTABLISHED_IN
m35,p22,ESTABLISHED_IN
m36,p23,ESTABLISHED_IN
m37,p23,ESTABLISHED_IN
m38,p32,ESTABLISHED_IN
m39,p32,ESTABLISHED_IN
m40,p5,ESTABLISHED_IN
m41,p5,ESTABLISHED_IN
m42,p21,ESTABLISHED_IN
m43,p21,ESTABLISHED_IN
m44,p15,ESTABLISHED_IN
m45,p15,ESTABLISHED_IN
m46,p34,ESTABLISHED_IN
m47,p34,ESTABLISHED_IN
m48,p29,ESTABLISHED_IN
m49,p29,ESTABLISHED_IN
m50,p25,ESTABLISHED_IN
m51,p25,ESTABLISHED_IN
m52,p2,ESTABLISHED_IN
m53,p2,ESTABLISHED_IN
m54,p24,ESTABLISHED_IN
m55,p24,ESTABLISHED_IN
m56,p4,ESTABLISHED_IN
m57,p4,ESTABLISHED_IN
m58,p13,ESTABLISHED_IN
m59,p10,ESTABLISHED_IN
m60,p10,ESTABLISHED_IN
m61,p19,ESTABLISHED_IN
m62,p19,ESTABLISHED_IN
m63,p3,ESTABLISHED_IN
m64,p3,ESTABLISHED_IN
m65,p6,ESTABLISHED_IN
m66,p6,ESTABLISHED_IN
m67,p12,ESTABLISHED_IN
m68,p12,ESTABLISHED_IN
m69,p1,ESTABLISHED_IN
m70,p1,ESTABLISHED_IN
m71,p31,ESTABLISHED_IN
