:START_ID,:END_ID,:TYPE
c10003,m1,HAS
c10003,m2,HAS
c10003,m3,HAS
c10003,m4,HAS
c10003,m5,HAS
c10003,m6,HAS
c10003,m7,HAS
c10003,m8,HAS
c10003,m9,HAS
c10003,m10,HAS
c10003,m11,HAS
c10003,m12,HAS
c10003,m13,HAS
c10003,m14,HAS
c10003,m15,HAS
c10003,m16,HAS
c10003,m17,HAS
c10003,m18,HAS
c10003,m19,HAS
c10003,m20,HAS
c10003,m21,HAS
c10003,m22,HAS
c10003,m23,HAS
c10003,m24,HAS
c10003,m25,HAS
c10003,m26,HAS
c10003,m27,HAS
c10003,m28,HAS
c10003,m29,HAS
c10003,m30,HAS
c10003,m31,HAS
c10003,m32,HAS
c10003,m33,HAS
c10003,m34,HAS
c10003,m35,HAS
c10003,m36,HAS
c10003,m37,HAS
c10003,m38,HAS
c10003,m39,HAS
c10003,m40,HAS
c10003,m41,HAS
c10003,m42,HAS
c10003,m43,HAS
c10003,m44,HAS
c10003,m45,HAS
c10003,m46,HAS
c10003,m47,HAS
c10003,m48,HAS
c10003,m49,HAS
c10003,m50,HAS
c10003,m51,HAS
c10003,m52,HAS
c10003,m53,HAS
c10003,m54,HAS
c10003,m55,HAS
c10003,m56,HAS
c10003,m57,HAS
c10003,m58,HAS
c10003,m59,HAS
c10003,m60,HAS
c10003,m61,HAS
c10003,m62,HAS
c10003,m63,HAS
c10003,m64,HAS
c10003,m65,HAS
c10003,m66,HAS
c10003,m67,HAS
c10003,m68,HAS
c10003,m69,HAS
c10003,m70,HAS
c10003,m71,HAS
c10003,m72,HAS
c10003,m73,HAS
c10003,m74,HAS
c10003,m75,HAS
c10003,m76,HAS
c10003,m77,HAS
c10003,m78,HAS
c10003,m79,HAS
c10003,m80,HAS
c10003,m81,HAS
c10003,m82,HAS
c10003,m83,HAS
c10003,m84,HAS
c10003,m85,HAS
c10003,m86,HAS
c10003,m87,HAS
c10003,m88,HAS
c10003,m89,HAS
c10003,m90,HAS
c10003,m91,HAS
c10003,m92,HAS
c10003,m93,HAS
c10003,m94,HAS
c10003,m95,HAS
c10003,m96,HAS
c10003,m97,HAS
c10003,m98,HAS
c10003,m99,HAS
c10003,m100,HAS
c10003,m101,HAS
c10003,m102,HAS
c10003,m103,HAS
c10003,m104,HAS
c10003,m105,HAS
c10003,m106,HAS
c10003,m107,HAS
c10003,m108,HAS
c10003,m109,HAS
c10003,m110,HAS
c10003,m111,HAS
c10003,m112,HAS
c10003,m113,HAS
c10003,m114,HAS
c10003,m115,HAS
c10003,m116,HAS
c10003,m117,HAS
c10003,m118,HAS
c10003,m119,HAS
c10003,m120,HAS
c10003,m121,HAS
c10003,m122,HAS
c10003,m123,HAS
c10003,m124,HAS
c10003,m125,HAS
c10003,m126,HAS
c10003,m127,HAS
c10003,m128,HAS
c10003,m129,HAS
c10003,m130,HAS
c10003,m131,HAS
c10003,m132,HAS
c10003,m133,HAS
c10003,m134,HAS
c10003,m135,HAS
c10003,m136,HAS
c10003,m137,HAS
c10003,m138,HAS
c10003,m139,HAS
c10003,m140,HAS
c10003,m141,HAS
c10003,m142,HAS
c10003,m143,HAS
c10003,m144,HAS
c10003,m145,HAS
c10003,m146,HAS
c10003,m147,HAS
c10003,m148,HAS
c10003,m149,HAS
c10003,m150,HAS
c10003,m151,HAS
c10003,m152,HAS
c10003,m153,HAS
c10003,m154,HAS
c10003,m155,HAS
c10003,m156,HAS
c10003,m157,HAS
c10003,m158,HAS
c10003,m159,HAS
c10003,m160,HAS
c10003,m161,HAS
c10003,m162,HAS
c10003,m163,HAS
c10003,m164,HAS
c10003,m165,HAS
c10003,m166,HAS
c10003,m167,HAS
c10003,m168,HAS
c10003,m169,HAS
c10003,m170,HAS
c10003,m171,HAS
c10003,m172,HAS
c10003,m173,HAS
c10003,m174,HAS
c10003,m175,HAS
c10003,m176,HAS
c10003,m177,HAS
c10003,m178,HAS
