:START_ID,:END_ID,:TYPE
m1,s2,IS_SUBJECT
m2,s2,IS_SUBJECT
m3,s1,IS_SUBJECT
m4,s2,IS_SUBJECT
m5,s1,IS_SUBJECT
m6,s2,IS_SUBJECT
m7,s1,IS_SUBJECT
m8,s2,IS_SUBJECT
m9,s1,IS_SUBJECT
m10,s2,IS_SUBJECT
m11,s1,IS_SUBJECT
m12,s2,IS_SUBJECT
m13,s1,IS_SUBJECT
m14,s2,IS_SUBJECT
m15,s1,IS_SUBJECT
m16,s2,IS_SUBJECT
m17,s1,IS_SUBJECT
m18,s2,IS_SUBJECT
m19,s1,IS_SUBJECT
m20,s2,IS_SUBJECT
m21,s1,IS_SUBJECT
m22,s2,IS_SUBJECT
m23,s1,IS_SUBJECT
m24,s2,IS_SUBJECT
m25,s1,IS_SUBJECT
m26,s2,IS_SUBJECT
m27,s1,IS_SUBJECT
m28,s2,IS_SUBJECT
m29,s1,IS_SUBJECT
m30,s2,IS_SUBJECT
m31,s1,IS_SUBJECT
m32,s2,IS_SUBJECT
m33,s1,IS_SUBJECT
m34,s2,IS_SUBJECT
m35,s1,IS_SUBJECT
m36,s2,IS_SUBJECT
m37,s1,IS_SUBJECT
m38,s2,IS_SUBJECT
m39,s1,IS_SUBJECT
m40,s2,IS_SUBJECT
m41,s1,IS_SUBJECT
m42,s2,IS_SUBJECT
m43,s1,IS_SUBJECT
m44,s2,IS_SUBJECT
m45,s1,IS_SUBJECT
m46,s2,IS_SUBJECT
m47,s1,IS_SUBJECT
m48,s2,IS_SUBJECT
m49,s1,IS_SUBJECT
m50,s2,IS_SUBJECT
m51,s1,IS_SUBJECT
m52,s2,IS_SUBJECT
m53,s1,IS_SUBJECT
m54,s2,IS_SUBJECT
m55,s1,IS_SUBJECT
m56,s2,IS_SUBJECT
m57,s1,IS_SUBJECT
m58,s2,IS_SUBJECT
m59,s2,IS_SUBJECT
m60,s1,IS_SUBJECT
m61,s2,IS_SUBJECT
m62,s1,IS_SUBJECT
m63,s2,IS_SUBJECT
m64,s1,IS_SUBJECT
