:START_ID,:END_ID,:TYPE
c10001,p25,LOCATED_IN
c10002,p25,LOCATED_IN
c10003,p25,LOCATED_IN
c10004,p25,LOCATED_IN
c10006,p25,LOCATED_IN
c10007,p25,LOCATED_IN
c10008,p25,LOCATED_IN
c10009,p25,LOCATED_IN
c10010,p25,LOCATED_IN
c10011,p25,LOCATED_IN
c10013,p25,LOCATED_IN
c10022,p25,LOCATED_IN
c10027,p25,LOCATED_IN
c10028,p25,LOCATED_IN
c10030,p25,LOCATED_IN
c10033,p25,LOCATED_IN
c10043,p25,LOCATED_IN
c10054,p25,LOCATED_IN
c10112,p10,LOCATED_IN
c10126,p34,LOCATED_IN
c10140,p18,LOCATED_IN
c10141,p18,LOCATED_IN
c10151,p18,LOCATED_IN
c10184,p23,LOCATED_IN
c10216,p17,LOCATED_IN
c10224,p12,LOCATED_IN
c10225,p12,LOCATED_IN
c10246,p9,LOCATED_IN
c10247,p9,LOCATED_IN
c10248,p9,LOCATED_IN
c10251,p9,LOCATED_IN
c10255,p9,LOCATED_IN
c10269,p9,LOCATED_IN
c10270,p9,LOCATED_IN
c10271,p9,LOCATED_IN
c10276,p9,LOCATED_IN
c10280,p9,LOCATED_IN
c10284,p4,LOCATED_IN
c10286,p4,LOCATED_IN
c10287,p4,LOCATED_IN
c10291,p4,LOCATED_IN
c10294,p4,LOCATED_IN
c10295,p4,LOCATED_IN
c10304,p4,LOCATED_IN
c10319,p4,LOCATED_IN
c10327,p4,LOCATED_IN
c10336,p13,LOCATED_IN
c10338,p13,LOCATED_IN
c10357,p28,LOCATED_IN
c10359,p28,LOCATED_IN
c10384,p19,LOCATED_IN
c10385,p19,LOCATED_IN
c10386,p19,LOCATED_IN
c10389,p19,LOCATED_IN
c10403,p11,LOCATED_IN
c10459,p1,LOCATED_IN
c10486,p21,LOCATED_IN
c10487,p21,LOCATED_IN
c10488,p21,LOCATED_IN
c10491,p21,LOCATED_IN
c10504,p21,LOCATED_IN
c10511,p21,LOCATED_IN
c10512,p21,LOCATED_IN
c10532,p22,LOCATED_IN
c10533,p22,LOCATED_IN
c10542,p22,LOCATED_IN
c10561,p24,LOCATED_IN
c10593,p29,LOCATED_IN
c10610,p33,LOCATED_IN
c10626,p33,LOCATED_IN
c10635,p27,LOCATED_IN
c10651,p33,LOCATED_IN
c10657,p14,LOCATED_IN
c10697,p5,LOCATED_IN
c10701,p5,LOCATED_IN
c10710,p5,LOCATED_IN
c10730,p30,LOCATED_IN
c10755,p20,LOCATED_IN
c10759,p20,LOCATED_IN
c11065,p16,LOCATED_IN
c11078,p24,LOCATED_IN
c11413,p25,LOCATED_IN
c11415,p25,LOCATED_IN
c11417,p25,LOCATED_IN
c20000,p9,LOCATED_IN
c106111,p27,LOCATED_IN
c10358,p28,LOCATED_IN
c10337,p13,LOCATED_IN
