:START_ID,need_score,:END_ID,:TYPE
m1,615,y3,NEED_SCORE
m2,660,y3,NEED_SCORE
m3,629,y3,NEED_SCORE
m4,673,y3,NEED_SCORE
m5,637,y3,NEED_SCORE
m6,612,y3,NEED_SCORE
m7,617,y3,NEED_SCORE
m8,651,y3,NEED_SCORE
m9,640,y3,NEED_SCORE
m10,639,y3,NEED_SCORE
m11,596,y3,NEED_SCORE
m12,693,y3,NEED_SCORE
m13,636,y3,NEED_SCORE
m14,653,y3,NEED_SCORE
m15,647,y3,NEED_SCORE
m16,662,y3,NEED_SCORE
m17,636,y3,NEED_SCORE
m18,670,y3,NEED_SCORE
m19,669,y3,NEED_SCORE
m20,672,y3,NEED_SCORE
m21,644,y3,NEED_SCORE
m22,824,y3,NEED_SCORE
m23,770,y3,NEED_SCORE
m24,689,y3,NEED_SCORE
m25,651,y3,NEED_SCORE
m26,670,y3,NEED_SCORE
m27,644,y3,NEED_SCORE
m28,669,y3,NEED_SCORE
m29,620,y3,NEED_SCORE
m30,675,y3,NEED_SCORE
m31,660,y3,NEED_SCORE
m32,610,y3,NEED_SCORE
m33,632,y3,NEED_SCORE
m34,669,y3,NEED_SCORE
m35,654,y3,NEED_SCORE
m36,673,y3,NEED_SCORE
m37,657,y3,NEED_SCORE
m38,695,y3,NEED_SCORE
m39,668,y3,NEED_SCORE
m40,676,y3,NEED_SCORE
m41,655,y3,NEED_SCORE
m42,663,y3,NEED_SCORE
m43,645,y3,NEED_SCORE
m44,711,y3,NEED_SCORE
m45,646,y3,NEED_SCORE
m46,683,y3,NEED_SCORE
m47,671,y3,NEED_SCORE
m48,697,y3,NEED_SCORE
m49,677,y3,NEED_SCORE
m50,681,y3,NEED_SCORE
m51,673,y3,NEED_SCORE
m52,698,y3,NEED_SCORE
m53,656,y3,NEED_SCORE
m54,679,y3,NEED_SCORE
m55,658,y3,NEED_SCORE
m56,421,y3,NEED_SCORE
m57,411,y3,NEED_SCORE
m58,707,y3,NEED_SCORE
m59,666,y3,NEED_SCORE
m60,644,y3,NEED_SCORE
m61,673,y3,NEED_SCORE
m62,661,y3,NEED_SCORE
m63,876,y3,NEED_SCORE
m64,875,y3,NEED_SCORE
m65,653,y3,NEED_SCORE
m66,640,y3,NEED_SCORE
m67,685,y3,NEED_SCORE
m68,646,y3,NEED_SCORE
m69,685,y3,NEED_SCORE
m70,655,y3,NEED_SCORE
m71,655,y3,NEED_SCORE
m72,668,y3,NEED_SCORE
m73,680,y3,NEED_SCORE
m74,657,y3,NEED_SCORE
m75,709,y3,NEED_SCORE
m76,694,y3,NEED_SCORE
m77,692,y3,NEED_SCORE
m78,684,y3,NEED_SCORE
m79,686,y3,NEED_SCORE
m80,659,y3,NEED_SCORE
m81,684,y3,NEED_SCORE
m82,662,y3,NEED_SCORE
m83,694,y3,NEED_SCORE
m84,674,y3,NEED_SCORE
m85,705,y3,NEED_SCORE
m86,666,y3,NEED_SCORE
m87,681,y3,NEED_SCORE
m88,661,y3,NEED_SCORE
m89,682,y3,NEED_SCORE
m90,684,y3,NEED_SCORE
m91,674,y3,NEED_SCORE
m92,662,y3,NEED_SCORE
m93,683,y3,NEED_SCORE
m94,669,y3,NEED_SCORE
m95,670,y3,NEED_SCORE
m96,651,y3,NEED_SCORE
m97,697,y3,NEED_SCORE
m98,681,y3,NEED_SCORE
m99,669,y3,NEED_SCORE
m100,650,y3,NEED_SCORE
m101,683,y3,NEED_SCORE
m102,658,y3,NEED_SCORE
m103,610,y2,NEED_SCORE
m104,611,y2,NEED_SCORE
m105,656,y2,NEED_SCORE
m106,690,y2,NEED_SCORE
m107,661,y2,NEED_SCORE
m108,684,y2,NEED_SCORE
m109,666,y2,NEED_SCORE
m110,680,y2,NEED_SCORE
m111,700,y2,NEED_SCORE
m112,414,y2,NEED_SCORE
m113,413,y2,NEED_SCORE
m114,687,y2,NEED_SCORE
m115,685,y2,NEED_SCORE
m116,617,y2,NEED_SCORE
m117,637,y2,NEED_SCORE
m118,643,y2,NEED_SCORE
m119,694,y2,NEED_SCORE
m120,698,y2,NEED_SCORE
m121,704,y2,NEED_SCORE
m122,650,y2,NEED_SCORE
m123,675,y2,NEED_SCORE
m124,670,y2,NEED_SCORE
m125,688,y2,NEED_SCORE
m126,676,y2,NEED_SCORE
m127,693,y2,NEED_SCORE
m128,664,y2,NEED_SCORE
m129,688,y2,NEED_SCORE
m130,873,y2,NEED_SCORE
m131,870,y2,NEED_SCORE
m132,667,y2,NEED_SCORE
m133,684,y2,NEED_SCORE
m134,638,y2,NEED_SCORE
m135,679,y2,NEED_SCORE
m136,649,y2,NEED_SCORE
m137,687,y2,NEED_SCORE
m138,653,y2,NEED_SCORE
m139,667,y2,NEED_SCORE
m140,703,y2,NEED_SCORE
m141,684,y2,NEED_SCORE
m142,684,y2,NEED_SCORE
m143,693,y2,NEED_SCORE
m144,689,y2,NEED_SCORE
m145,703,y2,NEED_SCORE
m146,649,y2,NEED_SCORE
m147,679,y2,NEED_SCORE
m148,668,y2,NEED_SCORE
m149,691,y2,NEED_SCORE
m150,679,y2,NEED_SCORE
m151,696,y2,NEED_SCORE
m152,673,y2,NEED_SCORE
m153,690,y2,NEED_SCORE
m154,628,y2,NEED_SCORE
m155,674,y2,NEED_SCORE
m156,670,y2,NEED_SCORE
m157,688,y2,NEED_SCORE
m158,684,y2,NEED_SCORE
m159,693,y2,NEED_SCORE
m160,657,y2,NEED_SCORE
m161,688,y2,NEED_SCORE
m162,570,y2,NEED_SCORE
m163,532,y2,NEED_SCORE
m164,630,y2,NEED_SCORE
m165,650,y2,NEED_SCORE
m166,599,y2,NEED_SCORE
m167,608,y2,NEED_SCORE
m168,606,y2,NEED_SCORE
m169,660,y2,NEED_SCORE
m170,655,y2,NEED_SCORE
m171,677,y2,NEED_SCORE
m172,621,y2,NEED_SCORE
m173,648,y2,NEED_SCORE
m174,626,y2,NEED_SCORE
m175,666,y2,NEED_SCORE
m176,690,y2,NEED_SCORE
m177,674,y2,NEED_SCORE
m178,631,y2,NEED_SCORE
m179,688,y2,NEED_SCORE
m180,663,y2,NEED_SCORE
m181,686,y2,NEED_SCORE
m182,593,y2,NEED_SCORE
m183,655,y2,NEED_SCORE
m184,657,y2,NEED_SCORE
m185,679,y2,NEED_SCORE
m186,669,y2,NEED_SCORE
m187,688,y2,NEED_SCORE
m188,675,y2,NEED_SCORE
m189,682,y2,NEED_SCORE
m190,771,y2,NEED_SCORE
m191,784,y2,NEED_SCORE
m192,627,y2,NEED_SCORE
m193,671,y2,NEED_SCORE
m194,648,y2,NEED_SCORE
m195,681,y2,NEED_SCORE
m196,648,y2,NEED_SCORE
m197,679,y2,NEED_SCORE
m198,651,y2,NEED_SCORE
m199,664,y2,NEED_SCORE
