Major:ID,Major,:LABEL
M0,all,Major
M1,外国语言文学类,Major
M2,财政学类,Major
M3,法学,Major
M4,工商管理类,Major
M5,国际政治,Major
M6,金融学类,Major
M7,经济学类,Major
M8,理科试验班,Major
M9,人力资源管理,Major
M10,人文科学试验班,Major
M11,社会科学试验班（管理学科类）,Major
M12,社会学类,Major
M13,新闻传播学类,Major
M14,法语（中外合作办学）,Major
M15,国民经济管理（中外合作办学）,Major
M16,金融学（中外合作办学）,Major
M17,绘画（加权成绩）,Major
M18,美术学（艺术管理与策划方向，加权成绩）,Major
M19,设计学类（加权成绩）,Major
M20,财政学类（国家专项）,Major
M21,理科试验班（国家专项）,Major
M22,人力资源管理（国家专项）,Major
M23,人文科学试验班（国家专项）,Major
M24,法学（国家专项）,Major
M25,经济学类（国家专项）,Major
M26,社会科学试验班（管理学科类，国家专项）,Major
M27,新闻传播学类（国家专项）,Major
M28,英语（国家专项）,Major
M29,工商管理类（国家专项）,Major
M30,国际政治（国家专项）,Major
M31,金融学类（国家专项）,Major
M32,社会学类（国家专项）,Major
M33,德语,Major
M34,俄语,Major
M35,法语,Major
M36,日语,Major
M37,西班牙语,Major
M38,英语,Major
M39,公共管理类,Major
M40,理科试验班（环境理工、环境经管）,Major
M41,理科试验班（信息与数学）,Major
M42,农业经济管理类,Major
M43,统计学类,Major
M44,信息资源管理,Major
M45,政治学、经济学与哲学（PPE实验班）,Major
M46,美术学,Major
M47,理科试验班（物理、化学与心理学）,Major
M48,理科试验班（物理、化学与心理学，国家专项）,Major
M49,理科试验班（信息与数学，国家专项）,Major
M50,公共管理类（国家专项）,Major
M51,统计学类（国家专项）,Major
M52,信息资源管理（国家专项）,Major
M53,农业经济管理类（国家专项）,Major
M54,理科试验班（环境理工、环境经管，国家专项）,Major
M55,法学（民考汉）,Major
M56,国际政治（民考汉）,Major
M57,经济学类（民考汉）,Major
M58,理科试验班（环境理工、环境经管，民考汉）,Major
M59,农业经济管理类（民考汉）,Major
M60,人文科学试验班（民考汉）,Major
M61,新闻传播学类（民考汉）,Major
M62,信息资源管理（民考汉）,Major
M63,绘画(加权成绩),Major
M64,设计学类(加权成绩),Major
M65,美术学(加权成绩),Major
M66,交通运输类,Major
M67,土木类,Major
