:START_ID,need_score,:END_ID,:TYPE
m0,615,y3,NEED_SCORE
m1,660,y3,NEED_SCORE
m2,629,y3,NEED_SCORE
m3,673,y3,NEED_SCORE
m4,637,y3,NEED_SCORE
m5,612,y3,NEED_SCORE
m6,617,y3,NEED_SCORE
m7,651,y3,NEED_SCORE
m8,640,y3,NEED_SCORE
m9,639,y3,NEED_SCORE
m10,596,y3,NEED_SCORE
m11,693,y3,NEED_SCORE
m12,636,y3,NEED_SCORE
m13,653,y3,NEED_SCORE
m14,647,y3,NEED_SCORE
m15,662,y3,NEED_SCORE
m16,636,y3,NEED_SCORE
m17,670,y3,NEED_SCORE
m18,669,y3,NEED_SCORE
m19,672,y3,NEED_SCORE
m20,644,y3,NEED_SCORE
m21,824,y3,NEED_SCORE
m22,770,y3,NEED_SCORE
m23,689,y3,NEED_SCORE
m24,651,y3,NEED_SCORE
m25,670,y3,NEED_SCORE
m26,644,y3,NEED_SCORE
m27,669,y3,NEED_SCORE
m28,620,y3,NEED_SCORE
m29,675,y3,NEED_SCORE
m30,660,y3,NEED_SCORE
m31,610,y3,NEED_SCORE
m32,632,y3,NEED_SCORE
m33,669,y3,NEED_SCORE
m34,654,y3,NEED_SCORE
m35,673,y3,NEED_SCORE
m36,657,y3,NEED_SCORE
m37,695,y3,NEED_SCORE
m38,668,y3,NEED_SCORE
m39,676,y3,NEED_SCORE
m40,655,y3,NEED_SCORE
m41,663,y3,NEED_SCORE
m42,645,y3,NEED_SCORE
m43,711,y3,NEED_SCORE
m44,646,y3,NEED_SCORE
m45,683,y3,NEED_SCORE
m46,671,y3,NEED_SCORE
m47,697,y3,NEED_SCORE
m48,677,y3,NEED_SCORE
m49,681,y3,NEED_SCORE
m50,673,y3,NEED_SCORE
m51,698,y3,NEED_SCORE
m52,656,y3,NEED_SCORE
m53,679,y3,NEED_SCORE
m54,658,y3,NEED_SCORE
m55,421,y3,NEED_SCORE
m56,411,y3,NEED_SCORE
m57,707,y3,NEED_SCORE
m58,666,y3,NEED_SCORE
m59,644,y3,NEED_SCORE
m60,673,y3,NEED_SCORE
m61,661,y3,NEED_SCORE
m62,876,y3,NEED_SCORE
m63,875,y3,NEED_SCORE
m64,653,y3,NEED_SCORE
m65,640,y3,NEED_SCORE
m66,685,y3,NEED_SCORE
m67,646,y3,NEED_SCORE
m68,685,y3,NEED_SCORE
m69,655,y3,NEED_SCORE
m70,655,y3,NEED_SCORE
m71,668,y3,NEED_SCORE
m72,680,y3,NEED_SCORE
m73,657,y3,NEED_SCORE
m74,709,y3,NEED_SCORE
m75,694,y3,NEED_SCORE
