College:ID,Name,985:int,211:int,top:int,:LABEL
c10001,北京大学,1,1,1,college
c10002,中国人民大学,1,1,1,college
c10003,清华大学,1,1,1,college
c10004,北京交通大学,1,1,0,college
c10006,北京航空航天大学,1,1,1,college
c10007,北京理工大学,1,1,1,college
c10008,北京科技大学,1,1,1,college
c10009,北方工业大学,0,0,0,college
c10010,北京化工大学,1,1,1,college
c10011,北京工商大学,0,0,0,college
c10013,北京邮电大学,0,1,1,college
c10022,北京林业大学,0,1,1,college
c10027,北京师范大学,1,1,1,college
c10028,首都师范大学,0,0,1,college
c10030,北京外国语大学,0,1,1,college
c10033,中国传媒大学,0,1,1,college
c10043,北京体育大学,0,1,1,college
c10054,华北电力大学,0,1,1,college
c10112,太原理工大学,0,1,1,college
c10126,内蒙古大学,0,1,1,college
c10140,辽宁大学,0,1,1,college
c10141,大连理工大学,1,1,1,college
c10151,大连海事大学,0,1,1,college
c10184,延边大学,0,1,1,college
c10216,燕山大学,0,0,0,college
c10224,东北农业大学,0,1,1,college
c10225,东北林业大学,0,1,1,college
c10246,复旦大学,1,1,1,college
c10247,同济大学,1,1,1,college
c10248,上海交通大学,1,1,1,college
c10251,华东理工大学,0,1,1,college
c10255,东华大学,0,1,1,college
c10269,华东师范大学,1,1,1,college
c10270,上海师范大学,0,0,0,college
c10271,上海外国语大学,0,1,1,college
c10276,华东政法大学,0,0,0,college
c10280,上海大学,0,1,1,college
c10284,南京大学,1,1,1,college
c10286,东南大学,1,1,1,college
c10287,南京航空航天大学,0,1,1,college
c10291,南京工业大学,0,0,0,college
c10294,河海大学,0,1,1,college
c10295,江南大学,0,1,1,college
c10304,南通大学,0,0,0,college
c10319,南京师范大学,0,1,1,college
c10327,南京财经大学,0,0,0,college
c10336,杭州电子科技大学,0,0,0,college
c10338,浙江理工大学,0,0,0,college
c10357,安徽大学,0,1,1,college
c10359,合肥工业大学,0,1,1,college
c10384,厦门大学,1,1,1,college
c10385,华侨大学,0,0,0,college
c10386,福州大学,0,1,1,college
c10389,福建农林大学,0,0,0,college
c10403,南昌大学,0,1,1,college
c10459,郑州大学,0,1,1,college
c10486,武汉大学,1,1,1,college
c10487,华中科技大学,1,1,1,college
c10488,武汉科技大学,0,0,0,college
c10491,中国地质大学（武汉）,0,1,1,college
c10504,华中农业大学,0,1,1,college
c10511,华中师范大学,0,1,1,college
c10512,湖北大学,0,0,0,college
c10532,湖南大学,1,1,1,college
c10533,中南大学,1,1,1,college
c10542,湖南师范大学,0,1,1,college
c10561,华南理工大学,1,1,1,college
c10593,广西大学,0,1,1,college
c10610,四川大学,1,1,1,college
c10626,四川农业大学,0,1,1,college
c10635,西南大学,0,1,1,college
c10651,西南财经大学,0,1,1,college
c10657,贵州大学,0,1,1,college
c10697,西北大学,0,1,1,college
c10701,西安电子科技大学,0,1,1,college
c10710,长安大学,0,1,1,college
c10730,兰州大学,1,1,1,college
c10755,新疆大学,0,1,1,college
c10759,石河子大学,0,1,1,college
c11065,青岛大学,0,0,0,college
c11078,广州大学,0,0,0,college
c11413,中国矿业大学（北京）,0,1,1,college
c11415,中国地质大学（北京）,0,1,1,college
c11417,北京联合大学,0,0,0,college
c20000,复旦大学医学部,1,1,1,college
c106111,重庆大学,1,1,1,college
c10358,中国科学技术大学,1,1,1,college
c10337,浙江工业大学,0,0,0,college
