major,firstDiscipline,SubjectCategory
世界史,世界史,历史学
中医学,中医学,医学
中医学（厦门大学马来西亚分校）,中医学,医学
中国少数民族语言文学,中国语言文学,文学
中国少数民族语言文学（文史）,中国语言文学,文学
中国少数民族语言文学（朝鲜语言文学）,中国语言文学,文学
中国少数民族语言文学（朝鲜语言文学）（中韩翻译）,中国语言文学,文学
中国少数民族语言文学（理工）,中国语言文学,文学
中国少数民族语言文学（维吾尔语言/普通类）,中国语言文学,文学
中国语言文学类,中国语言文学,文学
中国语言文学类(含汉语言文学(基地班)、秘书学、古典文献学),中国语言文学,文学
中国语言文学类(汉语国际教育、汉语言文学),中国语言文学,文学
中国语言文学类(汉语言文学、汉语国际教育),中国语言文学,文学
中国语言文学类(汉语言文学、秘书学)(含国家文科基地班),中国语言文学,文学
中国语言文学类(茅以升学院),中国语言文学,文学
中国语言文学类（单列类）,中国语言文学,文学
中国语言文学类（普通类）,中国语言文学,文学
中国语言文学类（汉语国际教育、汉语言、汉语言文学）,中国语言文学,文学
中国语言文学类（汉语国际教育、汉语言）,中国语言文学,文学
中国语言文学类（汉语言文学、汉语国际教育）,中国语言文学,文学
中国语言文科学类,中国语言文学,文学
中草药栽培与鉴定,中药学,医学
中药学,中药学,医学
中药学类,中药学,医学
中药资源与开发,中药学,医学
中西医临床医学,临床医学,医学
临床医学,临床医学,医学
临床医学 ,临床医学,医学
临床医学('5+3'一体化),临床医学,医学
临床医学(5+3),临床医学,医学
临床医学(5+3一体化),临床医学,医学
"临床医学(5+3一体化,儿科医学)",临床医学,医学
临床医学(5+3一体化培养),临床医学,医学
临床医学(专项理）,临床医学,医学
临床医学(五加三一体化),临床医学,医学
临床医学(五年),临床医学,医学
临床医学(儿科医学),临床医学,医学
临床医学(免费医学定向),临床医学,医学
临床医学(八年),临床医学,医学
临床医学(八年制),临床医学,医学
临床医学(口腔),临床医学,医学
临床医学(含拔尖创新人才试点班)(学制为5+3医),临床医学,医学
临床医学(本博连读),临床医学,医学
临床医学(本硕连读),临床医学,医学
临床医学(汉语),临床医学,医学
临床医学类,临床医学,医学
临床医学类 ,临床医学,医学
临床医学类（5+3规培）,临床医学,医学
临床医学类（5+3规培）（医学）,临床医学,医学
临床医学类（中外合作办学）,临床医学,医学
临床医学类（医学）,临床医学,医学
临床医学类（国家专项医）,临床医学,医学
临床医学类（国家专项理）,临床医学,医学
临床医学类（定向）,临床医学,医学
临床医学类（高校专项理）,临床医学,医学
临床医学（5+3一体化培养）,临床医学,医学
临床医学（5+3一体化）,临床医学,医学
临床医学（5+3）,临床医学,医学
临床医学（5+3，儿科学）,临床医学,医学
临床医学（5+3，儿科方向）,临床医学,医学
临床医学（5加3一体化培养）,临床医学,医学
临床医学（5＋3，儿科学）,临床医学,医学
临床医学（“5+3”一体化）,临床医学,医学
临床医学（专科）,临床医学,医学
临床医学（五年制本科）,临床医学,医学
临床医学（五年制）,临床医学,医学
临床医学（五年）,临床医学,医学
临床医学（儿科学创新班，“5+3”一体化）,临床医学,医学
临床医学（儿科学创新班，学制：5+3医）,临床医学,医学
临床医学（全英预备班，“5+3”一体化）,临床医学,医学
临床医学（全英预备班，学制：5+3医）,临床医学,医学
临床医学（八年制）,临床医学,医学
临床医学（八年）,临床医学,医学
临床医学（六年、临床医学专业中德实验班）,临床医学,医学
临床医学（六年制中德实验班）,临床医学,医学
临床医学（分院）,临床医学,医学
临床医学（口腔医学）,临床医学,医学
临床医学（国家贫困专项）,临床医学,医学
临床医学（学制5年）,临床医学,医学
临床医学（学制：5+3医）,临床医学,医学
临床医学（定向）,临床医学,医学
临床医学（本硕博贯通培养）,临床医学,医学
临床医学（民考汉）,临床医学,医学
临床医学（联合培养预备班，“5+3”一体化）,临床医学,医学
临床医学（贯通培养）,临床医学,医学
临床药学,临床医学,医学
临床药学 ,临床医学,医学
临床药学（五年制）,临床医学,医学
