major (origin),major2 (disambiguated),ID
体育教育(师范),体育学,403
作曲与作曲技术理论,艺术学,504
应用气象学,大气科学,706
应用化学,化学工程与技术,817
应用化学 ,化学工程与技术,817
应用化学(含化学、应用化学、材料化学),化学工程与技术,817
应用化学（含化学、应用化学、材料化学专业）,化学工程与技术,817
应用化学（张大煜化学菁英班）,化学工程与技术,817
应用化学（张大煜化学菁英班）（理学）,化学工程与技术,817
应用化学（理学）,化学工程与技术,817
应用化学-优培计划,化学工程与技术,817
应用心理学,心理学,402
应用心理学      ,心理学,402
应用心理学（文史）,心理学,402
应用心理学（汉）,心理学,402
应用心理学（理工）,心理学,402
应用物理学,物理学,702
应用物理学 ,物理学,702
应用物理学（王大珩物理科学班）,物理学,702
应用物理学（能源科学方向）,物理学,702；
应用语言学,中国语言文学,501
应用统计学,应用经济学,202
应用统计学（中外合作办学）,应用经济学,202
应用统计学（中外合作办学）  （风险和精算）,应用经济学,202
应用统计学（风险和精算）,应用经济学,202
应用理科(拔尖人才试点班),数学,701
应用数学与统计类,数学,701
冶金工程,冶金工程,806
汽车服务工程,机械工程,802
社会工作,社会学,303
社会工作(专项文）,社会学,303
社会工作（南疆计划）,社会学,303
社会工作（蒙授）,社会学,303
社会体育指导与管理,体育学,403
社会学,社会学,303
社会学 ,社会学,303
社会学（双语类）,社会学,303
社会学（社会管理）,社会学,303
社会学（单列类）,社会学,303
社会学（定向）,社会学,303
社会学(定向),社会学,303
社会学（普通类）,社会学,303
社会学类,社会学,303
社会学类（人文社科类）,社会学,303
社会学类（中外合作办学）,社会学,303
社会学类（中外合作办学）社会工作,社会学,303
社会学类（代表人文社科类）,社会学,303
社会学类(含社会学、社会工作),社会学,303
社会学类（国家专项）,社会学,303
社会科学试验班,社会学,303
社会科学试验班（国家专项）,社会学,303
社会科学试验班（经济类）,社会学,303
社会科学试验班(信息管理类),社会学,303
社会科学试验班（管理学科类）,社会学,303
社会科学试验班（管理学科类，国家专项）,社会学,303
社会科学试验班（管理类）,社会学,303
社会科学试验班（精品文科班）,社会学,303
社会科学试验班(精品文科班),社会学,303
阿拉伯语,外国语言文学,502
阿拉伯语（文史）,外国语言文学,502
阿拉伯语（理工）,外国语言文学,502
纺织工程,纺织科学与工程,821
纺织工程（双语类）,纺织科学与工程,821
纺织工程（定向）（单列）,纺织科学与工程,821
纺织工程（普通类）,纺织科学与工程,821
