major (origin),major2 (disambiguated)
园林（国家专项计划）,园林植物与观赏园艺
邮政工程,市政工程
邮政工程(互联网与智慧物流),市政工程
邮政管理,管理学
邮政管理(互联网与智慧物流),管理学
财务管理,管理学
财务管理（双语实验班）,企业管理（含：财务管理、市场营销、人力资源管理）
财务管理科,企业管理（含：财务管理、市场营销、人力资源管理）
财政学,财政学（含∶税收学）
财政学（民）,财政学（含∶税收学）
财政学（单列类）,财政学（含∶税收学）
财政学类,财政学（含∶税收学）
财政学类（国家专项）,财政学（含∶税收学）
兵器类,兵器科学与技术
兵器类（国家专项）,兵器科学与技术
体育学类,体育学
体育经济与管理,体育人文社会学
体育经济与管理     ,体育人文社会学
体育教育,体育教育训练学
体育教育(师范),体育教育训练学
作曲与作曲技术理论,设计艺术学
应用气象学,气象学
应用化学,应用化学
应用化学 ,应用化学
应用化学(含化学、应用化学、材料化学),应用化学
应用化学（含化学、应用化学、材料化学专业）,应用化学
应用化学（张大煜化学菁英班）,应用化学
应用化学（张大煜化学菁英班）（理学）,应用化学
应用化学（理学）,应用化学
应用化学-优培计划,应用化学
应用心理学,应用心理学
应用心理学      ,应用心理学
应用心理学（文史）,应用心理学
应用心理学（汉）,应用心理学
应用心理学（理工）,应用心理学
应用物理学,物理学
应用物理学 ,物理学
应用物理学（王大珩物理科学班）,物理化学（含：化学物理）
应用物理学（能源科学方向）,物理化学（含：化学物理）
应用语言学,语言学及应用语言学
应用统计学,统计学
应用统计学（中外合作办学）,统计学
应用统计学（中外合作办学）  （风险和精算）,统计学
应用统计学（风险和精算）,统计学
应用理科(拔尖人才试点班),应用数学
应用数学与统计类,应用数学
冶金工程,冶金工程
汽车服务工程,车辆工程
社会工作,社会学
社会工作(专项文）,社会学
社会工作（南疆计划）,社会学
社会工作（蒙授）,社会学
社会体育指导与管理,体育人文社会学
社会学,社会学
社会学 ,社会学
社会学（双语类）,社会学
社会学（社会管理）,社会学
社会学（单列类）,社会学
社会学（定向）,社会学
社会学(定向),社会学
社会学（普通类）,社会学
社会学类,社会学
社会学类（人文社科类）,体育人文社会学
社会学类（中外合作办学）,社会学
社会学类（中外合作办学）社会工作,社会学
社会学类（代表人文社科类）,体育人文社会学
社会学类(含社会学、社会工作),社会学
社会学类（国家专项）,社会学
社会科学试验班,社会学
社会科学试验班（国家专项）,社会学
社会科学试验班（经济类）,社会学
社会科学试验班(信息管理类),社会学
社会科学试验班（管理学科类）,社会学
社会科学试验班（管理学科类，国家专项）,社会学
社会科学试验班（管理类）,社会学
社会科学试验班（精品文科班）,社会学
社会科学试验班(精品文科班),社会学
阿拉伯语,阿拉伯语语言文学
阿拉伯语（文史）,阿拉伯语语言文学
阿拉伯语（理工）,阿拉伯语语言文学
纺织工程,纺织工程
纺织工程（双语类）,纺织工程
纺织工程（定向）（单列）,纺织工程
纺织工程（普通类）,纺织工程
纺织类,纺织工程
纺织类（国家专项计划）,纺织工程
环境工程,环境工程
环境工程 ,环境工程
环境工程#E,环境工程
环境工程(专项理）,环境工程
环境工程(环境科学与工程类),环境科学与工程
环境工程（国家贫困专项）,环境工程
环境工程（按环境科学与工程类招生）,环境科学与工程
环境工程(按环境科学与工程类培养),环境科学与工程
环境工程（按环境科学与工程类培养）,环境科学与工程
环境工程（闽台合作项目）,环境工程
环境工程(菁英班),环境工程
环境生态工程,环境工程
环境设计,环境科学
环境科学,环境科学
环境科学（双语类）,环境科学
环境科学（含环境科学专业、环境工程专业、环境生态学）,环境科学与工程
环境科学（单列）,环境科学
环境科学（单列类）,环境科学
环境科学（普通类）,环境科学
环境科学与 ?工程类,环境科学与工程
环境科学与工程,环境科学与工程
环境科学与工程类,环境科学与工程
环境科学与工程类 ,环境科学与工程
环境科学与工程类(地球科学与环境类),环境科学与工程
环境科学与工程类(含环境工程、安全工程专业),环境科学与工程
环境科学与工程类(含环境科学、环境工程),环境科学与工程
环境科学与工程类（含环境科学专业、环境工程专业、环境生态工程）,环境科学与工程
环境科学与工程类（环境工程、环境生态工程）,环境科学与工程
环境科学与工程类(环境工程、环境科学),环境科学与工程
环境科学与工程类(环境地球科学类),环境科学与工程
环境科学与工程类（环境科学、环境工程、环境生态工程）,环境科学与工程
环境科学与工程类（国家专项计划）,环境科学与工程
表演,艺术学
英语,英语语言文学
英语 ,英语语言文学
英语（121项目）,英语语言文学
英语(专项文）,英语语言文学
英语(专项理）,英语语言文学
英语(中加),英语语言文学
英语(中美合作1+2+1),英语语言文学
英语（公费师范）,英语语言文学
英语（文）,英语语言文学
英语（文史）,英语语言文学
英语（文科）,英语语言文学
英语(双外语),英语语言文学
英语（外语要求不低于115分）,英语语言文学
英语(汉),英语语言文学
英语（汉）,英语语言文学
英语（民）,英语语言文学
英语(民),英语语言文学
英语（民航业务、国际贸易）,英语语言文学
英语(师范),英语语言文学
英语（师范）,英语语言文学
英语（师范类）,英语语言文学
英语（含翻译专业）,英语语言文学
英语（免费师范）,英语语言文学
英语（招英语考生）（按外国语言文学类培养）,英语语言文学
英语(英日),英语语言文学
英语（英日）,英语语言文学
英语(英语类),英语语言文学
英语（国际贸易）,英语语言文学
英语（国家专项）,英语语言文学
英语（国家专项计划）,英语语言文学
英语（国家贫困专项）,英语语言文学
英语（单列）,英语语言文学
英语（单列类）,英语语言文学
英语（宝山校区）,英语语言文学
英语(按外国语言文学类培养),外国语言文学
英语（按外国语言文学类培养）,外国语言文学
英语(南单文）,英语语言文学
英语(南单理）,英语语言文学
英语（高校专项）,英语语言文学
英语（涉外法商）,英语语言文学
英语（预科）,英语语言文学
英语（理）,英语语言文学
英语（理工）,英语语言文学
英语（教育）,英语语言文学
英语(商务),英语语言文学
英语（商务）,英语语言文学
英语(商务英语),英语语言文学
英语（商务英语),英语语言文学
英语（商务英语）,英语语言文学
英语（普通类）,英语语言文学
英语（零起点）,英语语言文学
英语(零起点),英语语言文学
英语（翻译方向）,英语语言文学
英语【英语、翻译】,英语语言文学
英语类,英语语言文学
林业工程类,林业工程
林业工程类(成栋班),林业工程
林产化工,林业工程
林学,林学
林学类,林学
林学类(成栋实验班),林学
林学类（含林学、森林保护专业）,森林保护学
矿业类,矿业工程
矿物加工工程,矿物加工工程
矿物加工工程 ,矿物加工工程
矿物加工工程（地矿）,矿物加工工程
矿物加工工程（地矿专业）,矿物加工工程
矿物加工工程(地矿专业),矿物加工工程
矿物加工工程（宝玉石学）,矿物加工工程
矿物加工工程(提前批),矿物加工工程
矿物加工工程（提前批）,矿物加工工程
矿物加工工程??,矿物加工工程
矿物资源工程,矿物加工工程
轮机工程（陆上专业）,轮机工程
软件工程,计算机软件与理论
软件工程（中外合作办学 中爱）,计算机软件与理论
软件工程（中外合作办学）,计算机软件与理论
软件工程(中外合作办学),计算机软件与理论
软件工程（双语类）,计算机软件与理论
软件工程（含网络工程专业）,计算机软件与理论
软件工程（含软件工程、数字媒体技术）,计算机软件与理论
软件工程(软件工程类),计算机软件与理论
软件工程（单列）,计算机软件与理论
软件工程（单列类）,计算机软件与理论
软件工程(定向),计算机软件与理论
软件工程（移动互联网方向）,计算机软件与理论
软件工程（厦门大学马来西亚分校）,计算机软件与理论
软件工程（嵌入式培养）,计算机软件与理论
软件工程(嵌入式培养),计算机软件与理论
软件工程（普通类）,计算机软件与理论
软件工程【软件工程、网络工程】,计算机软件与理论
软件工程专业（中外合作办学）,计算机软件与理论
非织造材料与工程,纺织材料与纺织品设计
国民经济管理,国民经济学
国民经济管理（中外合作办学）,国民经济学
国际事务与国际关系,国际关系
国际经济与贸易,国际贸易学
国际经济与贸易（五年）,国际贸易学
国际经济与贸易（日语）,国际贸易学
国际经济与贸易（中外合作办学）,国际贸易学
国际经济与贸易（文）,国际贸易学
国际经济与贸易（文史）,国际贸易学
国际经济与贸易（文科）,国际贸易学
国际经济与贸易（双语实验班）,国际贸易学
国际经济与贸易(民),国民经济学
国际经济与贸易（国际金融与投资）,国际贸易学
国际经济与贸易（单列类）,国际贸易学
国际经济与贸易（理）,国际贸易学
国际经济与贸易（理工）,国际贸易学
国际经济与贸易（瀚德实验1班）德语,国际贸易学
国际经济与贸易（瀚德实验1班德语，仅招有专业志愿考生）,国际贸易学
国际经济与贸易(瀚德实验1班德语，仅招有专业志愿考生),国际贸易学
国际经济与贸易（瀚德实验1班德语，招有专业志愿考生）,国际贸易学
国际经济与贸易（瀚德实验2班）葡萄牙语,国际贸易学
国际经济与贸易（瀚德实验2班葡萄牙语，仅招有专业志愿考生）,国际贸易学
国际经济与贸易（瀚德实验班1班）德语,国际贸易学
国际经济与贸易（瀚德实验班2班葡萄牙语，仅招有专业志愿考生）,国际贸易学
国际政治,国际政治
国际政治（双语类）,国际政治
国际政治（民考汉）,国际政治
国际政治（国家专项）,国际政治
国际政治（单列）,国际政治
国际政治（单列类）,国际政治
国际政治（普通类）,国际政治
国际商务,国际政治
国际商务（中外合作办学）,国际贸易学
国际商务（双语实验班）,国际贸易学
国际商务（外语二学位）,国际贸易学
国际商务（全英文科教学）,国际贸易学
国际商务(全英文科教学),国际贸易学
国际商务（厦门大学马来西亚分校）,国际贸易学
国际商务（德语与德语国家研究）,国际贸易学
国家专项|机械类,机械工程
国家专项|光电信息科学与工程,地图制图学与地理信息工程
国家专项|自动化,农业电气化与自动化
国家专项|英语,英语语言文学
国家专项|数学类,数学
国家专项|管理科学与工程类,材料科学与工程
图书情报与档案管理,"图书馆,情报与档案管理"
图书情报与档案管理类,"图书馆,情报与档案管理"
图书情报与档案管理类(信息管理学类),"图书馆,情报与档案管理"
制药工程,药学
制药工程 ,药学
制药工程（少）,药学
制药工程(民族班),药学
知识产权,法学
知识产权 ,法学
知识产权（卓越人才实验班）,法学
物化生组,生物化工
物流工程,公共管理
物流管理,公共管理
物流管理（文史）,公共管理
物流管理（双语类）,公共管理
物流管理（民）,公共管理
物流管理（物流系统工程）,公共管理
物流管理（单列类）,公共管理
物流管理（定向）,公共管理
物流管理(定向),公共管理
物流管理（闽台合作）,公共管理
物流管理(闽台合作),公共管理
物流管理（理工）,公共管理
物流管理（普通类）,公共管理
物流管理（管理学创新实验班）,公共管理
物流管理与工程类,公共管理
物流管理科,公共管理
物理学,物理学
物理学（公费师范）,物理学
物理学（双语类）,物理学
物理学（协同创新实验班）,物理学
物理学（师范）,物理学
